REF_ID;PUB_TYPE;REFERENCE
REF339;Article;"Sousa, M. B. C.; Albuquerque, A. C. S. D. R.; Albuquerque, F. D. S.; Araujo, A.; Yamamoto, M. E.; and Arruda, M. D. F. 2005. Behavioral strategies and hormonal profiles of dominant and subordinate common marmoset (Callithrix jacchus) females in wild monogamous groups. American Journal of Primatology, 67 (1):37-50."
REF340;Article;"Souto, A.; Bezerra, B. M.; Schiel, N.; and Huber, L. 2007. Saltatory search in free-living Callithrix jacchus: environmental and age influences. International Journal of Primatology, 28:881-893."
REF341;Article;"Spence, A.; Kimball, B. A.; Williams, L. E.; and Fernandez?Duque, E. 2018. Chemical composition of glandular secretions from a pair?living monogamous primate: Sex, age, and gland differences in captive and wild owl monkeys (Aotus spp.). American Journal of Primatology, 80:1-13.
"
REF342;Short comunication;"Sponchiado, J.; Melo, G. M.; and Caceres, N. C. 2011. First record of the invasive alien species Axis axis (Erxleben, 1777) (Artiodactyla: Cervidae) in Brazil. Biota Neotropica, 11 (3):403-406. "
REF343;Article;"Srbek-Araujo, A. C.; and Chiarello, A. G. 2008. Domestic dogs in Atlantic Forest preserves of south-eastern Brazil: A camera-trapping study on patterns of entrance and site occupancy rates. Brazilian Journal of Biology, 68 (4):631-637."
REF344;Data base ;Sternberg Museum of Natural History, Mammal Collection. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/742, 2012-12-04>
REF345;Article;"Tavares, D. C.; Guadagnin, D. L.; Moura, J. F.; Siciliano, S.; and Merico, A. 2015. Environmental and anthropogenic factors structuring waterbird habitats of tropical coastal lagoons: Implications for management. Biological Conservation, 186:12-21. "
REF346;Article;"Teixeira, M. B.; Koenemann, J. G.; Avila, M.; Kerber, L.; and Dornelles, R. C. 2008. Levantamento da mastofauna não-voadora na mata ciliar do arroio Touro Passo, celula Touro Passo, Uruguaiana, Rio Grande do Sul (dados preliminares). Caderno de Pesquisa, série Biologia (UNISC), 20:48-62."
REF347;Article;Thomas, O. 1910. LVI. On mammals collected in Ceara, NE Brazil, by Fraulein Dr. Snethlage. Journal of Natural History, 6 (35):500-503.
REF348;Article;Tiepolo, L. 2004. Conservação do cervo-do-pantanal Blastocerus dichotomus no Parque Nacional de Ilha Grande e entorno (PR/ MS). Natureza e Conservação, 2:56-66.
REF349;Article;"Tortato, F. R.; Testoni, A. F.; and Althoff, S. G. 2014. Mastofauna terrestre da Reserva Biologica Estadual do Sassafrás, Doutor Pedrinho, Santa Catarina, Sul do Brazil. Biotemas, 27 (3):123-129. "
REF350;Article;"Travaini, A.; Delibes, M.; and Ceballos, O. 1998. Summer foods of the Andean hog-nosed skunk (Conepatus chinga) in Patagonia. Journal of Zoology, 246 (4):443-486."
REF351;Thesis;Trovati, R. G. 2009. Mamíferos escavadores (Dasypodidae e Echimyidae) do cerrado da região de Itirapina e seu papel em comunidades de vertebrados terrestres. Universidade de São Paulo.
REF352;Article;"Trovati, R. G.; and Munerato, M. S. 2013. Occurrence of Sus scrofa Linnaeus, 1758 (Mammalia: Artiodactyla) at Estacao Ecologica de Itirapina, Sao Paulo state, Brazil. Check List, 9:136-138."
REF353;Web site;TTU Mammals Collection. Accessed in <https://www.gbif.org/dataset/854f70cc-55e3-4af2-9417-0f47d6c7902d>
REF354;Web site;UCLA (Dickey Collection -UCLA-Dickey), Bird and Mammal specimens. Accessed in <http://data.gbif.org/datasets/resource/1846, 2012-12-04>
REF355;Web site;UMMZ Mammal Collection. Accessed in <https://lsa.umich.edu/ummz/mammals/collections.html>
REF356;Web site;UNIBIO, IBUNAM, CNMA/Coleccion de Mamiferos de la Estacion de Biologia Chamela. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/8396, 2012-12-04>
REF357;Web site;UNIBIO, IBUNAM, CNMA/Coleccion Nacional de mamiferos. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/776, 2012-12-04>
REF358;Web site;University of Kansas Biodiversity Institute, KUBI Mammalogy Collection. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/14480, 2012-12-04>
REF359;Web site;University of Michigan Museum of Zoology, Mammal specimens.Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/801, 2012-12-04>
REF360;Web site;University of Minnesota Bell Museum of Natural History, Mammal specimens. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/986, 2012-12-04>
REF361;web site;University of Washington Burke Museum, Mammal Specimens. Accessed in <http://data.gbif.org/datasets/resource/124, 2012-12-04>
REF362;Article;"Valenzuela, A. E. J.; Anderson, C. B.; Fasola, L.; and Cabello, J. L. 2014. Linking invasive exotic vertebrates and their ecosystem impacts in Tierra del Fuego to test theory and determine action. Acta Oecologica, 54:110-118."
REF363;Article;"Valenzuela, A. E. J.; Rey, A. R.; Fasola, L.; Samaniego, R. A. S.; and Schiavini, A. Trophic ecology of a top predator colonizing the southern extreme of South America: Feeding habits of invasive American mink (Neovison vison) in Tierra del Fuego. Mammalian Biology, 78:104-110."
REF364;Article;"Valenzuela, A. E.; Rey, A. R.; Fasola, L.; and Schiavini, A. 2013. Understanding the inter-specific dynamics of two co-existing predators in the Tierra del Fuego Archipelago: the native southern river otter and the exotic American mink. Biological invasions, 15(3):645-656."
REF365;Article;"Valenzuela, A. E.; Sepúlveda, M. A.; Cabello, J. L.; and Anderson, C. B. 2016. El visón americano en Patagonia: um análisis histórico y socioecológico de la investigatión y el manejo. Mastozoología Neotropical, 23(2):289-304."
REF366;Data base ;"Vargas Cuenca. J.;Hortelano-Mocanda, Y.; and Cervantes, F. A. 2014. Actualizacion de la base de datos del estado de Morelos de la Coleccion Nacional de Mamiferos del Instituto de Biologia, UNAM. Universidad Nacional Autonoma de Mexico. Instituto de Biologia. Bases de datos SNIB-CONABIO proyecto No. JL003, HA023 y V043. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/proyectos/resultados/JL003_HA023_V043_CARATULA_BASE_DE_DATOS.pdf>"
REF367;Thesis;Vargas, A. M. M. 2008. Influencia de las caracterãsticas del hãbitat y actividades humanas sobre la frecuenzia de visitas del Zorro Andino (Lycalopex culpaeus) a estaciones olfativas, en el ãrea natural de manejo integrado nacional Apolobamba, Bolivia. Universidade Nacional da Costa Rica.
REF368;Article;"Vera y Conde, C. F.; and Rocha, C. F. D. 2006. Habitat disturbance and small mammal richness and diversity in an Atlantic rainforest area in southeastern Brazil.Brazilian Journal of Biology,66 (4):983-990."
REF369;Article;"Vignolio, O.; and Fernández, O. N. 2014. Dispersión de semillas en heces de liebre (Lepus europaeus) en pastizales de la Pampa Deprimida. Comunicación. Revista Argentina de Producción Animal, 26 (1):31-38."
REF370;Article;"Voss, W. A.; Breyer F. R. S.;Mattes, G. C.; and Konrad, H.G. 1981. Constatação e observação de uma população residual de Blastocerus dichotomus (Illiger, 1811) (Mammalia, Cervidae). Iheringia, 59:25-36."
REF371;Article;"Walker, A. D.; and Parga, J. A. 2017. “Stink flirting” in ring?tailed lemurs (Lemur catta): Male olfactory displays to females as honest, costly signals. American Journal of Primatology, 79:1-9.
"
REF372;Article;"Xavier, M. S.; Lemos, H. M.; Bezerra, A.; Secco, H.; and Gonçalves, P. R. 2017. Note worthy coastal records of the maned Wolf, Chrysocyon brachyurus (Illiger, 1815), in Southeastern Brazil. Boletim da Sociedade Brasileira de Mastozoologia, 78:9-13."
REF373;Thesis;Xavier, M.S. 2016. Mamiferos terrestres de medio e grande porte do Parque Nacional da Restinga de Jurubatiba: riqueza de especies e vulnerabilidade local. Universidade Federal do Rio de Janeiro.
REF374;Article;"Yamamoto, M. E.; Araujo, A.; Arruda, M. F.; Lima, A.K.M.; Siqueira, J. O.; and Hattori, W. T. 2014. Male and female breeding strategies in a cooperative primate. Behavioural Processes, 109:27-33."
REF375;Article;"Yáñez, J. L.; Cárdenas, J. C.; Gezelle, P.; and Jaksic, F. M. 1986. Food habits of the southernmost mountain lions (Felis concolor) in South America: natural versus livestocked ranges. Journal of Mammalogy, 67 (3):604-606."
REF376;Article;"Zago, L.; Miranda, J. ; Santos, C. V. ; and Passos, F. C. 2011. Composição e dinâmica de grupos de Callithrix penicillata (E. Geoffroy, 1812) introduzidos em fragmento urbano na Ilha de Santa Catarina. In: Miranda, J. M. D.; Hirano, Z. M. B. (Org.). A Primatologia no Brazil, 12:102-113."
REF377;Article;"Zeppelini, D.; Mascarenhas, R.; and Meier, G. G. 2007. Rat eradication as part of a hawksbill turtle (Eretmochelys imbricata) conservation program in an urban area in Cabedelo, Paraiba State, Brazil. Marine Turtle Newsletter, 117:5-7."
