REF_ID;PUB_TYPE;REFERENCE
REF050;Technical document;Biolaw. 2006. Diagnostico ambiental de area destinada a extracao de carvao mineral pela empresa Copelmi Mineracao, municipio de Butia,RS.
REF051;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Bom Recreio, municipio de Sentinela do Sul, RS. Relatorio técnico.
REF052;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Cancela III, municipio de Encruzilhada do Sul, RS. Relatorio técnico.
REF053;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda da Bota, municipio de Encruzilhada do Sul, RS. Relatorio técnico.
REF054;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda do Limoeiro, municipio de Rio Pardo, RS. Relatorio técnico.
REF055;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Ferraria, municipio de Amaral Ferrador, RS. Relatorio técnico.
REF056;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Panorama, municipio de Santa Margarida do Sul, RS. Relatorio técnico.
REF057;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Sanga das Pedras, municipio de Pantano Grande, RS. Relatorio técnico.
REF058;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Sanga Funda, municipio de Pantano Grande, RS. Relatorio técnico.
REF059;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Santa Margarida, municipio de Santa Margarida do Sul, RS. Relatorio técnico.
REF060;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Sonho Meu, municipio de Butia, RS. Relatorio técnico.
REF061;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Taruma I, municipio de Pantano Grande, RS. Relatorio técnico.
REF062;Technical document;Biolaw. 2006. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Velha, municipio de Rio Pardo, RS. Relatorio técnico.
REF063;Technical document;Biolaw. 2007. Diagnostico ambiental de area possivelmente destinada ao reflorestamento com eucalipto (Eucalyptus spp.) pela empresa Aracruz Celulose - Fazenda Candelaria, municipio de Candelaria, RS. Relatorio técnico.
REF064;Technical document;Biolaw. 2007. Monitoramento ambiental UHE 14 de Julho, rio das Antas, RS.
REF065;Congress Abstract;"Bó, R. F.; Arias S. M.; Corriale, M. J.; and Porini, G. 2007. La caza de liebres (Lepus europaeus) em Patagonia: uma alternativa viable? In Anais VII Congreso Internacional Gestion en Recursos Naturales. "
REF066;Article;"Bobadilla, S. Y.; Benitez, V. V.; and Guichón, M. L. 2016. Asiatic Callosciurus squirrels as seed dispersers of exotic plants in the Pampas. Current Zoology, 62 (3):215-219."
REF067;Thesis;Bogoni, J.A. 2018. Contingência versus determinismo: O papel dos paradigmas neutros e de nicho nos padrões de diversidade de mamíferos na Mata Atlântica Sulamericana. Universidade Federal de Santa Catarina.
REF068;Article;"Bolla, D. A. S.; Ceron, K.; Carvalho, F.; Matia, D. L.; Luiz, M. R.; Panatta, K. A.; Pavei, D.D.; Avila-Mendonça, R.; and Zocche, J. J. 2017. Mastofauna terrestre do sul de Santa Catarina: Mamíferos de médio e grande porte e voadores. Tecnologia e Ambiente, 23:61-78."
REF069;Thesis;Bonino, N. A. 2007. Distribucion actual de la liebre europea en Sudamérica. In: Estrategia adaptativa de dos especies de lagomorfos introducidos en la Patagonia Argentina, con especial referencia a sus hábitos alimentarios.
REF070;Dissertation;Bonino, N. A. 2007. Estrategia adaptativa de dos especies de lagomorfos introducidos en la Patagonia Argentina, con especial referencia a sus háitos alimentarios. Dissertation. Universidad de Sevilla, Sevilla, España.
REF071;Article;"Bonino, N. A.; and Soriguer, R. C. 2009. The invasion of Argentina by the European wild rabbit Oryctolagus cuniculus. Mammal Review 39 (3):159-166."
REF072;Article;"Bonino, N.; Cossios, D.; and Menegheti, J. 2010. Dispersal of the European hare, Lepus europaeus in South America. Folia Zoologica, 59 (1):9-15."
REF073;Article;"Boroni, N. L.; Pardiñas, U. F. J.; and Boroni, G. L. 2018. Vanished Lagoa Santa: Rodent species loss in the last two centuries. Mastozoología Neotropical, 25(1):17-33."
REF074;Article;"Bovendorp, R. S.; and Galetti, M. 2007. Density and population size of mammals introduced on a land-bridge island in southeastern Brazil. Biological Invasions, 9 (3):353-357."
REF075;Article;"Bovendorp, R. S.; Villar, N.; Abreu Junior, E. F.;Bello, C.; Regolin, A. L.; Percequillo, A. R.; and Galetti, M. 2017. Atlantic small-mammal: a dataset of communities of rodents and marsupials of the Atlantic forests of South America. Ecology, 98 (8):2226-2226. "
REF076;Article;"Bovo, A. A. A.; Magioli, M.; Percequillo, A. R.; Kruszynski, C.; Roberto, V. A.; Mello, M. A. R.; Correa, L. S.; Gebin, J. C. Z.; Ribeiro, Y. G. G.; Costa, F. B.; Ramos, V. N.; Benatti, H. R.; Lopez, B.; Alves, M. Z.; Diniz-Reis, T. R.; Camargo, P. B.; Labruna, M. B.; and Ferraz, K. M. P. M. B. 2018. Human-modified landscape acts as refuge for mammals in Atlantic Forest. Biota Neotropica, 18 (2):1-12."
REF077;Article;"Braga, C. A. C.; Drumonnd, L. O.; and Pires, M. R. S. 2016. Inventário de pequenos mamíferos (Rodentia e Didelphimorphia) da Serra de Ouro Branco: porção sul da Cadeia do Espinhaço, Minas Gerais, Brazil. Oecologia Australis, 20 (1):69-80. "
REF078;Article;"Braga, C.; Pinto, L. C. L.; Mateus, M. B.; and Pires, M. R. S. 2018. Ethnozoology as complementary method to inventory medium and large-bodied mammals: the case study of Serra do Ouro Branco, Brazil. Oecologia Australis 22 (1):28-40."
REF079;Article;"Branch, L.; Villarreal, D.; and Pessino, M. 1996. Response of pumas to a population decline of the plains vizcacha. Journal of Mammalogy 77:1132-1140."
REF080;Article;"Brandão, M. L.; Chame, M.; Cordeiro, J. L. P.; and Chaves, S. A. M. 2009. Diversidade de helmintos intestinais em mamíferos silvestres e domésticos na Caatinga do Parque Nacional Serra da Capivara, Sudeste do Piauí, Brazil. Revista Brasileira de Parasitologia Veterinária, 18 (1):19-28."
REF081;Article;"Brasington, L. F.; Wikberg, E. C.; Kawamura, S.; Fedigan, L. M.; and Jack, K. M. 2017. Infant mortality in white?faced capuchins: The impact of alpha male replacements. American Journal of Primatology, 79:1-11"
REF082;Data base ;Bravo Marentes, C. 1999. Inventario nacional de especies vegetales y animales de uso artesanal. Asociacion Mexicana de Arte y Cultura Popular A. C. Bases de datos SNIB-CONABIO proyecto No. J002. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/proyectos/resultados/J002_CARATULA%20BASE%20DE%20DATOS.pdf>
